"Genotype","X.Intercept."
"05.oaa",0.0543160274796445
"1312-17-2",-0.262530721227192
"1312-17-3",-0.164164265285656
"35-4",0.0788214365689575
"Albina",0.0231876611429334
"Aldana",-0.0826732410664422
"Alena",-0.00845779071249336
"Alina",0.027257487096794
"Alligator",0.0235156444558058
"Amadea",0.0175291080323819
"Amazonka",-0.0160391260760047
"Amelina",0.011491900030671
"Amfor",0.026233294642849
"Amigo",-0.0780947566747129
"Amurskaya_2113",-0.0138546953269367
"Amurskaya_buraya_51",0.164021460788594
"Amurskaya_zheltaya_42",-0.0643336757765922
"Anastasiya",-0.0333207133488125
"Annushka",-0.17808361828114
"Arleta",-0.0296999032414074
"Asuka",0.0747643172021046
"Avanta",-0.163617721777916
"Balkan",0.078093475057756
"Banjo",0.0892325298404486
"Bara",-0.148947322482689
"Batya",0.0167357136350894
"Bazaliya",-0.0945927646088339
"Belgorodskaya_6",-0.0621829581046456
"Belgorodskaya_7",-0.0710633150352357
"Belgorodskaya_8",0.0020169475700234
"Bettina",0.0836219835850298
"bez_nazvaniya_133",0.171679305131678
"bez_nazvaniya_134",0.186274755939072
"bez_nazvaniya_3",0.210170996638165
"bez_nazvaniya_4",0.0157303586221619
"bez_nazvaniya_5",0.185699827139837
"BGL-461",0.0636280733537201
"Bilyavka",-0.171097138375404
"Bohemians",-0.0235773251094983
"Brunensis",-0.0165782908317201
"Buk_ge",0.0980492268318092
"Bylina",-0.0173578366489265
"Chara",0.0506196289589862
"Chera_1",-0.227438109641507
"Chiaturskaya_(mestnaya)",0.196669830679559
"Cordoba",0.0204474164976052
"Dana",0.069397035041956
"Danaya",0.090809584457451
"Danko",0.00619109319862092
"Delta",0.0595003958917902
"Diadema",0.0268691241190872
"Diamond",-0.00738905053222031
"Doza_K",-0.0105782292763509
"Dun-nun_36",-0.175204490426417
"Eldorado",-0.200628949884242
"Enn",0.181480723745264
"Evrika",0.15265911191024
"Ford",0.162843455591005
"Fortuna",0.0127823909401761
"Georgiya",-0.196050480958008
"Gratsiya",-0.00215986485077117
"Heinong_27",0.078093475057756
"Hilario_Kunitz",0.128300078328934
"HM_648_(Rita)",-0.154452509740143
"Iriston",0.162843455591005
"Izidor",0.184541517616576
"Kanata",0.129973331843518
"Karamanovka",0.0623805037220433
"Kardiff",0.0247242255888927
"Kasatka",-0.281054381321486
"Kasatka_(povt)",-0.221807546939128
"Kassidi",0.11464865008002
"Kazachka",-0.0891714282547629
"KH-KH_iz_Kitaya_â„–_2",-0.0690633003303676
"Khlorned_(ch/sem.)",0.132163199047089
"Kioto",0.100620265268176
"Kitrossa",0.018080044412793
"Klavera",0.032932404754758
"Kleopatra",0.0349717138806686
"Klondayk",0.16020305664472
"KNR-12-09_R4",0.157198855811345
"KNR-12-09_R9",0.168669059233983
"Knyazhna",-0.00990937205922026
"Kobra",-0.0245987512845094
"Kofu",0.0992390313225127
"Korichnevaya",0.105518754985836
"Korona_szoja",-0.0119726661243173
"L-12-0154",0.0872370273514468
"L-15-0034",-0.173531083205999
"L-17-121",0.000273141487591262
"L-17-122",-0.00316448081777064
"L-17-157",-0.0363685115709239
"L-17-162",-0.03467245008404
"L-17-163",-0.0379387550921996
"L-17-166",-0.0483570017467182
"L-17-167",-0.0379387550921996
"L-17-169",-0.03467245008404
"L-17-176",-0.03467245008404
"L-17-181",-0.03467245008404
"L-17-183",-0.03467245008404
"L-17-184",-0.03467245008404
"L-17-204",-0.03467245008404
"L-17-214",-0.03467245008404
"L-17-224",-0.03467245008404
"L-17-236",-0.03467245008404
"L-17-244",-0.03467245008404
"L-17-249",-0.03467245008404
"L-17-263",-0.0379387550921996
"L-17-267",-0.0374064412792068
"L-17-268",-0.0138617734944185
"L-17-269",-0.0138617734944185
"L-17-271",-0.0136850853374695
"L-17-273",0.0460820406796429
"L-17-274",0.0264788210277709
"L-17-276",0.0281748825146548
"L-17-277",0.0460820406796429
"L-17-278",0.0403385269981962
"L-17-279",0.00196920297447594
"L-17-281",0.0404923794040026
"L-17-282",0.0238412065825667
"L-17-283",0.0347488657225559
"L-17-284",0.0347488657225559
"L-17-286",0.00365045150813975
"L-17-287",0.0315206843625075
"L-17-288",0.0315206843625075
"L-17-289",0.00196920297447594
"L-17-291",0.0404923794040026
"L-17-292",0.0347488657225559
"L-17-317",0.0224620061070631
"L-17-321",0.00611185956374678
"L-17-324",0.0235135958514559
"L-17-326",0.0235135958514559
"L-17-331",0.0179435368525125
"L-17-332",0.0259310230868672
"L-17-349",0.0199113623091593
"L-17-379",0.00382713966508961
"L-17-381",-0.0033537647400841
"L-17-389",0.0282588626875869
"L-17-391",0.0227186700352511
"L-17-392",0.0259310230868672
"L-17-394",0.0708147052757113
"L-17-422",0.062275964498293
"L-17-427",0.0432996871300948
"L-17-428",0.057213653943835
"L-17-429",0.057213653943835
"L-17-432",0.0762585418511554
"L-17-438",0.0762585418511554
"L-17-441",0.11432312022608
"L-17-442",0.0600200937319634
"L-17-443",0.109507445036069
"L-17-569",0.0599237376550717
"L-17-66",-0.115125379669301
"L-17-67",-0.121713004508704
"L-17-68",-0.101468714040857
"L-17-69",0.00344295813426219
"L-17-71",0.00622531168381021
"L-17-72",0.00344295813426219
"L-17-74",-0.0804571126141447
"L-17-76",-0.0371065972428585
"L-17-78",-0.0555907909084659
"L-17-79",-0.0119270664205411
"L-17-82",-0.0156291369288829
"L-17-83",-0.00829485048376664
"L-17-87",-0.0291775623093863
"L-17-88",-0.0291775623093863
"L-17-91",-0.0212756207739632
"L-17-92",-0.0840313662159055
"L-17-94",-0.0543570931317021
"L-17-96",-0.0383895410320986
"Lantsetnaya",-0.183541961983309
"Larisa",-0.0564718291075567
"Lazurnaya",0.196669830679559
"Legenda",-0.193642480567883
"Libid",-0.0884071817502945
"Lider_1",-0.115043773067067
"Lindarin",0.111244893350275
"Lira",-0.0920201681250966
"Lissabon",0.000289937090605186
"Lokus",-0.239843566360939
"Mageva",-0.185564204424874
"Major",-0.0855109342056932
"Maksus",-0.0742642959376686
"Malaga",-0.00580821951019522
"Maleta",-0.032668381906157
"Merlin",-0.00898037431202383
"Mezenka",-0.140844285551849
"Milvus",-0.172684840299539
"MK_100",-0.0146240837847191
"Moravians",-0.0706134284088703
"Nadezhda",0.00619109319862092
"Natsunoka",-0.0373589612493133
"Nika",-0.0885895369627408
"Nilin",0.149352018551504
"Nilin_/_Delta",0.0634600481971023
"NS-L_1009",0.069414526688591
"NS-L_2021",0.151296244505976
"NS_Atlas",0.111244893350275
"NS_Maksimus",0.136290395065155
"NS_Mina",0.126607702086257
"NS_Nataliya",0.0429887375220526
"NS_Vulkan",0.090809584457451
"NS_Zoya",0.111244893350275
"OAK_MA·edok",-0.0135534791893753
"OAK_MÂ·edok",0.0010901096113846
"OAK_Preskot",0.0462422489961714
"OAS_Prudens",-0.0963792431568165
"Ogemaw",-0.0712133530042397
"OGR_83-71",0.0583661075953286
"OGR_83-9",-0.0183459638321182
"Olimpiya",0.0254884639281107
"Olviya",0.0167017596381184
"Opus",0.0253117334335764
"Oressa",-0.156564294072124
"Osmon",-0.155723490168848
"Paradis",-0.159350242793301
"Pepelina",-0.0501003504504663
"Perizat",0.090809584457451
"Persona",-0.0810344423747741
"PIN_419",0.13735781258302
"Poltava",0.069268094650918
"PR_130_900_4",0.0236042816748208
"Pripyat",-0.121771294179695
"Protina",0.00785395964344283
"Protino",-0.00910469336128465
"Puma",-0.0572086200203598
"Ras_20",-0.141530327938541
"Regina",-0.0125847182092192
"Ros",-0.0452795515145813
"Rudoi",-0.155991145253416
"RZHT_Sforza",-0.0282233866734101
"Saaremaa",-0.226742912892532
"Safrano",0.152792044370011
"Samer_1",-0.157312524667611
"Samer_2",-0.113372249408744
"Samer_3",-0.135764281800087
"Samer_4",-0.0717383099956039
"Samer_4_(povt)",-0.0679428874418463
"Samer_5",-0.0749356764242015
"Samer_5_(povt)",-0.0430388195715598
"Santana",-0.0295337191615407
"Saska",0.0385796483071471
"Sava",0.109589065266123
"Saydina",0.0209453558747828
"Selekta_201",0.0506148185407386
"Selekta_301",0.13522208478939
"Selekta_302",0.141238253589657
"Senator",0.00778352787392894
"Sevilya",0.0671328737519691
"Sfera",0.156628003124154
"SG_Kalao",0.0856693400495195
"SG_Kea",0.0519857626776181
"SG_Pikor",0.0459504543630695
"Shama",0.161431508443263
"Sharm",0.115089903619452
"Shuge",0.11787123007231
"SibNIIK_315",-0.237097346235724
"Silesia",-0.0176888388690905
"Sireliya",-0.0371033088068113
"SK_69",-0.0562742176688763
"SK_Agra",0.00662538663377673
"SK_Doka",-0.178284831646025
"SK_Farta",-0.0686003264026365
"SK_Optima",0.0593700768995037
"SK_Riana",0.0734027477427748
"SK_Unika",-0.0154157995309629
"SK_Veda",0.059590515033524
"SK_Viola",0.159591873475577
"Slaviya",0.0480515328117701
"Smuglyanka",0.0698429574632058
"Solador",0.143431735725259
"Solena",-0.0486162727919128
"Soriano",0.150656455002063
"Soyer_6",-0.0525203683657139
"Soyer_7",-0.130174869333814
"Sparta",-0.00456218439990709
"Sponsor",0.179280675909431
"Sprite",-0.12114103400045
"Sultana",-0.0490096727537805
"Suyedina",-0.0456911716593783
"Svapa",-0.152874837489143
"Svetlaya",-0.276582474091845
"Svetlaya_(povt)",-0.213569894855671
"Tabolinskaya_116",0.0889596347138443
"Tankuro",0.213890454133624
"Tatyana_Ryazantseva",-0.00418241207248766
"Tiara",0.036350665289641
"Trembita",0.139924939020969
"Triada",0.0454226968811006
"Tundra",-0.10380870817418
"Urkan",-0.0183459638321182
"USKHI-6",-0.118908276035684
"Ussuriyskaya_332",0.182234935818951
"Ussuriyskaya_511",0.196669830679559
"Valyevka",0.11699075594907
"Varsovie",-0.13725458890459
"VAZ_100",0.0272377412586181
"Velichava",0.141988694961541
"Vereteyka",-0.0664961506940848
"Vetsautses_brune",-0.0421210039923434
"Vilana",0.122136020071192
"Vilnensis",-0.143962887671323
"Volga",0.0313175412187892
"Volma",-0.161533706588076
"Yamajirushi_(China)",0.203470419806562
"YES_Gladiator",0.0438292556150657
"YES_Pallador",0.158391555711647
"Yevgeniya",-0.0207787746701722
"Yug_30",-0.124146671780726
"Zaryanitsa",-0.178782102977244
"Zelda",-0.117474952551217
"Zhalpaksay",0.0394380639505531
"Zhansaya",0.192919760020992
"Zlata",-0.152799460647507
"Zolotista",-0.125326126600825
